City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Paragominas,BR,75.11,overcast clouds,-2.9667,-47.4833,INOVA
599,Tongliao,CN,70.29,overcast clouds,43.6125,122.2653,Meirujia Hotel
600,Pabna,BD,80.46,overcast clouds,24.0,89.25,Hotel Dream Palace International
601,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
602,Tottori,JP,80.67,moderate rain,35.5,134.2333,Hotel Monarque Tottori
603,Kaduna,NG,69.08,light rain,10.5222,7.4383,HAMDALA HOTEL
604,Wukari,NG,72.45,overcast clouds,7.85,9.7833,Elimtop
605,Vidalia,US,78.91,clear sky,32.2177,-82.4135,Quality Inn & Suites
606,Manavalakurichi,IN,77.32,broken clouds,8.1333,77.3,Jebinrio home
608,Vaitape,PF,78.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
609,Daltenganj,IN,79.34,overcast clouds,24.0333,84.0667,Hotel Galaxy Inn
